"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1985","IAT-4 login with external dataset","firefox","Sun Jan 11 00:17:41 UTC 2026","passed","Sun Jan 11 00:17:43 UTC 2026","","demoblaze/demoblaze_usesJsonDataset.spec.ts","",""
"","1861","IAT-4 login with external dataset","chromium","Sun Jan 11 00:16:38 UTC 2026","passed","Sun Jan 11 00:16:40 UTC 2026","","demoblaze/demoblaze_usesJsonDataset.spec.ts","",""
"","6990","IAT-3 login with external dataset","Mobile Safari","Sun Jan 11 00:18:35 UTC 2026","passed","Sun Jan 11 00:18:42 UTC 2026","","demoblaze/demoblaze_usesJsonDataset.spec.ts","",""
"","6508","IAT-1 login with external dataset","chromium","Sun Jan 11 00:16:18 UTC 2026","passed","Sun Jan 11 00:16:25 UTC 2026","","demoblaze/demoblaze_usesJsonDataset.spec.ts","",""
"","2177","demoblaze site tests","Mobile Chrome","Sun Jan 11 00:17:49 UTC 2026","passed","Sun Jan 11 00:17:51 UTC 2026","","demoblaze/demoblaze_hardcodedData.spec.ts","",""
"","91","Remove all todo items from the list","chromium","Sun Jan 11 00:16:44 UTC 2026","passed","Sun Jan 11 00:16:44 UTC 2026","","todomvc/todomvc.REMOVEALLtodoitems.spec.ts","",""
"","6551","IAT-2 login with external dataset","chromium","Sun Jan 11 00:16:25 UTC 2026","passed","Sun Jan 11 00:16:31 UTC 2026","","demoblaze/demoblaze_usesJsonDataset.spec.ts","",""
"","7120","IAT-1 login with external dataset","webkit","Sun Jan 11 00:16:48 UTC 2026","passed","Sun Jan 11 00:16:55 UTC 2026","","demoblaze/demoblaze_usesJsonDataset.spec.ts","",""
"","337","Remove all todo items from the list","webkit","Sun Jan 11 00:17:18 UTC 2026","passed","Sun Jan 11 00:17:18 UTC 2026","","todomvc/todomvc.REMOVEALLtodoitems.spec.ts","",""
"","7176","IAT-1 login with external dataset","Mobile Safari","Sun Jan 11 00:18:21 UTC 2026","passed","Sun Jan 11 00:18:28 UTC 2026","","demoblaze/demoblaze_usesJsonDataset.spec.ts","",""
"","6425","IAT-3 login with external dataset","Mobile Chrome","Sun Jan 11 00:18:04 UTC 2026","passed","Sun Jan 11 00:18:11 UTC 2026","","demoblaze/demoblaze_usesJsonDataset.spec.ts","",""
"","7136","IAT-3 login with external dataset","webkit","Sun Jan 11 00:17:03 UTC 2026","passed","Sun Jan 11 00:17:10 UTC 2026","","demoblaze/demoblaze_usesJsonDataset.spec.ts","",""
"","7217","IAT-2 login with external dataset","webkit","Sun Jan 11 00:16:55 UTC 2026","passed","Sun Jan 11 00:17:03 UTC 2026","","demoblaze/demoblaze_usesJsonDataset.spec.ts","",""
"","309","Remove all todo items from the list","Mobile Safari","Sun Jan 11 00:18:50 UTC 2026","passed","Sun Jan 11 00:18:50 UTC 2026","","todomvc/todomvc.REMOVEALLtodoitems.spec.ts","",""
"","6973","IAT-2 login with external dataset","Mobile Safari","Sun Jan 11 00:18:28 UTC 2026","passed","Sun Jan 11 00:18:35 UTC 2026","","demoblaze/demoblaze_usesJsonDataset.spec.ts","",""
"","2000","IAT-4 login with external dataset","Mobile Chrome","Sun Jan 11 00:18:11 UTC 2026","passed","Sun Jan 11 00:18:13 UTC 2026","","demoblaze/demoblaze_usesJsonDataset.spec.ts","",""
"","3012","IAT-4 login with external dataset","Mobile Safari","Sun Jan 11 00:18:42 UTC 2026","passed","Sun Jan 11 00:18:45 UTC 2026","","demoblaze/demoblaze_usesJsonDataset.spec.ts","",""
"","4794","Add todo item in list","webkit","Sun Jan 11 00:17:13 UTC 2026","passed","Sun Jan 11 00:17:18 UTC 2026","","todomvc/todomvc.ADDtodoitem.spec.ts","",""
"","4764","Add todo item in list","Mobile Safari","Sun Jan 11 00:18:45 UTC 2026","passed","Sun Jan 11 00:18:50 UTC 2026","","todomvc/todomvc.ADDtodoitem.spec.ts","",""
"","129","Remove all todo items from the list","Mobile Chrome","Sun Jan 11 00:18:17 UTC 2026","passed","Sun Jan 11 00:18:17 UTC 2026","","todomvc/todomvc.REMOVEALLtodoitems.spec.ts","",""
"","2011","demoblaze site tests","chromium","Sun Jan 11 00:16:16 UTC 2026","passed","Sun Jan 11 00:16:18 UTC 2026","","demoblaze/demoblaze_hardcodedData.spec.ts","",""
"","4388","Add todo item in list","chromium","Sun Jan 11 00:16:40 UTC 2026","passed","Sun Jan 11 00:16:44 UTC 2026","","todomvc/todomvc.ADDtodoitem.spec.ts","",""
"","3048","demoblaze site tests","webkit","Sun Jan 11 00:16:45 UTC 2026","passed","Sun Jan 11 00:16:48 UTC 2026","","demoblaze/demoblaze_hardcodedData.spec.ts","",""
"","6282","IAT-2 login with external dataset","Mobile Chrome","Sun Jan 11 00:17:58 UTC 2026","passed","Sun Jan 11 00:18:04 UTC 2026","","demoblaze/demoblaze_usesJsonDataset.spec.ts","",""
"","6458","IAT-1 login with external dataset","firefox","Sun Jan 11 00:17:22 UTC 2026","passed","Sun Jan 11 00:17:28 UTC 2026","","demoblaze/demoblaze_usesJsonDataset.spec.ts","",""
"","6374","IAT-2 login with external dataset","firefox","Sun Jan 11 00:17:28 UTC 2026","passed","Sun Jan 11 00:17:35 UTC 2026","","demoblaze/demoblaze_usesJsonDataset.spec.ts","",""
"","6420","IAT-3 login with external dataset","firefox","Sun Jan 11 00:17:35 UTC 2026","passed","Sun Jan 11 00:17:41 UTC 2026","","demoblaze/demoblaze_usesJsonDataset.spec.ts","",""
"","6522","IAT-3 login with external dataset","chromium","Sun Jan 11 00:16:31 UTC 2026","passed","Sun Jan 11 00:16:38 UTC 2026","","demoblaze/demoblaze_usesJsonDataset.spec.ts","",""
"","3135","IAT-4 login with external dataset","webkit","Sun Jan 11 00:17:10 UTC 2026","passed","Sun Jan 11 00:17:13 UTC 2026","","demoblaze/demoblaze_usesJsonDataset.spec.ts","",""
"","4552","Add todo item in list","firefox","Sun Jan 11 00:17:43 UTC 2026","passed","Sun Jan 11 00:17:48 UTC 2026","","todomvc/todomvc.ADDtodoitem.spec.ts","",""
"","4518","Add todo item in list","Mobile Chrome","Sun Jan 11 00:18:13 UTC 2026","passed","Sun Jan 11 00:18:17 UTC 2026","","todomvc/todomvc.ADDtodoitem.spec.ts","",""
"","2552","demoblaze site tests","Mobile Safari","Sun Jan 11 00:18:18 UTC 2026","passed","Sun Jan 11 00:18:21 UTC 2026","","demoblaze/demoblaze_hardcodedData.spec.ts","",""
"","210","Remove all todo items from the list","firefox","Sun Jan 11 00:17:48 UTC 2026","passed","Sun Jan 11 00:17:48 UTC 2026","","todomvc/todomvc.REMOVEALLtodoitems.spec.ts","",""
"","2916","demoblaze site tests","firefox","Sun Jan 11 00:17:19 UTC 2026","passed","Sun Jan 11 00:17:22 UTC 2026","","demoblaze/demoblaze_hardcodedData.spec.ts","",""
"","6381","IAT-1 login with external dataset","Mobile Chrome","Sun Jan 11 00:17:52 UTC 2026","passed","Sun Jan 11 00:17:58 UTC 2026","","demoblaze/demoblaze_usesJsonDataset.spec.ts","",""
